row.identity,plot,treatment,average,P,test
PE(16:1/17:0);PE(15:0/18:1),O,H,3386283.775,N,
PE(16:1/17:1)_A,M,C,2635107.708,N,
PE(16:1/17:1)_A,M,H,2079875.538,N,
PE(16:1/17:1)_A,O,C,1692070.292,N,
PE(16:1/17:1)_A,O,H,1804270.838,N,
PE(16:1/17:1)_B,M,C,1209894.313,N,
PE(16:1/17:1)_B,M,H,789771.1313,N,
PE(16:1/17:1)_B,O,C,977503.8698,N,
PE(16:1/17:1)_B,O,H,751720.1,N,
PE(16:1/18:1),M,C,6434936.458,N,
PE(16:1/18:1),M,H,3872335.838,N,
PE(16:1/18:1),O,C,3816350.063,N,
PE(16:1/18:1),O,H,3472595.575,N,
PE(16:1/18:2),M,C,258976.3842,N,
PE(16:1/18:2),M,H,156567.8766,N,
PE(16:1/18:2),O,C,440077.013,N,
PE(16:1/18:2),O,H,152123.1649,N,
PE(16:1/19:1)_B,M,C,637764.8281,N,
PE(16:1/19:1)_B,M,H,523419.7298,N,
PE(16:1/19:1)_B,O,C,392428.3724,N,
PE(16:1/19:1)_B,O,H,574721.375,N,
PE(17:0/17:0),M,C,2088951.167,N,
PE(17:0/17:0),M,H,1982379.506,N,
PE(17:0/17:0),O,C,1409610.125,N,
PE(17:0/17:0),O,H,2007472.363,N,
PE(17:0/18:1),M,C,1886591.448,N,
PE(17:0/18:1),M,H,1927768.25,N,
PE(17:0/18:1),O,C,1136537.385,N,
PE(17:0/18:1),O,H,1602936.606,N,
PE(17:1/17:1),M,C,999224.375,N,
PE(17:1/17:1),M,H,904026.9594,N,
PE(17:1/17:1),O,C,652321.8959,N,
PE(17:1/17:1),O,H,730114.7375,N,
PE(17:1/18:1);PE(16:1/19:1)_A,M,C,1713835.531,N,
PE(17:1/18:1);PE(16:1/19:1)_A,M,H,1322037.884,N,
PE(17:1/18:1);PE(16:1/19:1)_A,O,C,892535.1927,N,
PE(17:1/18:1);PE(16:1/19:1)_A,O,H,1109439.75,N,
PE(17:1/19:1),M,C,4972998.208,N,
PE(17:1/19:1),M,H,3088522.45,N,
PE(17:1/19:1),O,C,3131549.854,N,
PE(17:1/19:1),O,H,2999067.4,N,
PE(18:1/18:1),M,C,11758351.75,N,
PE(18:1/18:1),M,H,9929075,N,
PE(18:1/18:1),O,C,6831352.417,N,
PE(18:1/18:1),O,H,8957986.85,N,
PE(18:1/18:2)_A,M,C,2052559.26,N,
PE(18:1/18:2)_A,M,H,1047898.916,N,
PE(18:1/18:2)_A,O,C,1474896.969,N,
PE(18:1/18:2)_A,O,H,1084495.85,N,
PE(18:1/18:2)_B,M,C,2667948.865,N,
PE(18:1/18:2)_B,M,H,4331397.688,N,
PE(18:1/18:2)_B,O,C,1537061.698,N,
PE(18:1/18:2)_B,O,H,3320848.8,N,
PE(18:1/19:1)_A,M,C,2149760.427,N,
PE(18:1/19:1)_A,M,H,1673345.059,N,
PE(18:1/19:1)_A,O,C,1421266.469,N,
PE(18:1/19:1)_A,O,H,1427700.55,N,
PE(18:1/19:1)_B,M,C,5242309.292,N,
PE(18:1/19:1)_B,M,H,4227928.838,N,
PE(18:1/19:1)_B,O,C,3321787.792,N,
PE(18:1/19:1)_B,O,H,4178131.375,N,
PE(18:2/18:2),M,C,2223335.24,P,PE(18:2/18:2)
PE(18:2/18:2),M,H,1435345.384,P,
PE(18:2/18:2),O,C,3215628.479,P,PE(18:2/18:2)
PE(18:2/18:2),O,H,966815.6063,P,
PE(19:1/19:1),M,C,4004403.438,N,
PE(19:1/19:1),M,H,3873405.288,N,
PE(19:1/19:1),O,C,2934027.104,N,
PE(19:1/19:1),O,H,3667954.125,N,
PE(35:2),M,C,4440856.5,N,
PE(35:2),M,H,2663576.138,N,
PE(35:2),O,C,3040074.313,N,
PE(35:2),O,H,2579219.45,N,
PE(36:1),M,C,964168.1146,N,
PE(36:1),M,H,829367.2,N,
PE(36:1),O,C,575511.8959,N,
PE(36:1),O,H,769434.9438,N,
PE(O-15:0/15:0),M,C,2241152.052,N,
PE(O-15:0/15:0),M,H,2215012.406,N,
PE(O-15:0/15:0),O,C,1205221.896,N,
PE(O-15:0/15:0),O,H,2100913.525,N,
PE(O-15:0/15:1)_A,M,C,1895088.146,N,
PE(O-15:0/15:1)_A,M,H,1646959.028,N,
PE(O-15:0/15:1)_A,O,C,978112.6771,N,
PE(O-15:0/15:1)_A,O,H,1309876.55,N,
PE(O-15:0/15:1)_B,M,C,2169771.313,N,
PE(O-15:0/15:1)_B,M,H,1642568.972,N,
PE(O-15:0/15:1)_B,O,C,747723.9193,N,
PE(O-15:0/15:1)_B,O,H,1164669.538,N,
PE(O-16:0/15:1),M,C,599571.4297,N,
PE(O-16:0/15:1),M,H,472021.7617,N,
PE(O-16:0/15:1),O,C,215329.3825,N,
PE(O-16:0/15:1),O,H,406328.3,N,
PE(O-17:0/17:0),M,C,1612752.448,N,
PE(O-17:0/17:0),M,H,2163806.875,N,
PE(O-17:0/17:0),O,C,911138.4792,N,
PE(O-17:0/17:0),O,H,1734732.744,N,
PE(P-16:0/16:1),M,C,1217880.448,N,
PE(P-16:0/16:1),M,H,984959.7719,N,
PE(P-16:0/16:1),O,C,1066042.01,N,
PE(P-16:0/16:1),O,H,871321.875,N,
PG(15:0/15:0),M,C,396382.1576,N,
PG(15:0/15:0),M,H,210998.1504,N,
PG(15:0/15:0),O,C,375825.2604,N,
PG(15:0/15:0),O,H,221014.7907,N,
PG(15:0/16:0)_A,M,C,241366.8177,N,
PG(15:0/16:0)_A,M,H,164265.917,N,
PG(15:0/16:0)_A,O,C,234432.2982,N,
PG(15:0/16:0)_A,O,H,198104.8953,N,
PG(15:0/16:0)_B,M,C,936556.1432,N,
PG(15:0/16:0)_B,M,H,721292.3617,N,
PG(15:0/16:0)_B,O,C,1122764.018,N,
PG(15:0/16:0)_B,O,H,570232.0938,N,
PG(15:0/16:1)_A,M,C,441451.4935,N,
PG(15:0/16:1)_A,M,H,218470.6941,N,
PG(15:0/16:1)_A,O,C,422926.7409,N,
PG(15:0/16:1)_A,O,H,229793.3094,N,
PG(15:0/16:1)_B,M,C,305312.4906,N,
PG(15:0/16:1)_B,M,H,124424.0744,N,
PG(15:0/16:1)_B,O,C,262522.8737,N,
PG(15:0/16:1)_B,O,H,132071.0414,N,
PG(15:0/17:0),M,C,482072.9896,N,
PG(15:0/17:0),M,H,377539.0469,N,
PG(15:0/17:0),O,C,475929.1315,N,
PG(15:0/17:0),O,H,359859.6594,N,
PG(15:0/17:1),M,C,360320.3724,N,
PG(15:0/17:1),M,H,229803.2592,N,
PG(15:0/17:1),O,C,391573.961,N,
PG(15:0/17:1),O,H,230031.3523,N,
PG(15:0/18:1);PG(16:1/17:0),M,C,601269.6472,N,
PG(15:0/18:1);PG(16:1/17:0),M,H,314498.6766,N,
PG(15:0/18:1);PG(16:1/17:0),O,C,585385.3802,N,
PG(15:0/18:1);PG(16:1/17:0),O,H,313636.8969,N,
PG(16:0/16:0),M,C,254970.9427,N,
PG(16:0/16:0),M,H,168658.9846,N,
PG(16:0/16:0),O,C,324044.1348,N,
PG(16:0/16:0),O,H,191511.9523,N,
PG(16:0/16:1),M,C,930698.6771,N,
PG(16:0/16:1),M,H,574492.5477,N,
PG(16:0/16:1),O,C,979279.3281,N,
PG(16:0/16:1),O,H,571386.7406,N,
PG(16:0/17:0),M,C,180315.6924,N,
PG(16:0/17:0),M,H,112058.1146,N,
PG(16:0/17:0),O,C,195070.9971,N,
PG(16:0/17:0),O,H,155683.1879,N,
PG(16:0/17:1),M,C,409724.9212,N,
PG(16:0/17:1),M,H,209477.893,N,
PG(16:0/17:1),O,C,498882.6667,N,
PG(16:0/17:1),O,H,258597.375,N,
PG(16:0/18:1);PG(16:1/18:0),M,C,1880961.146,N,
PG(16:0/18:1);PG(16:1/18:0),M,H,1431986.688,N,
PG(16:0/18:1);PG(16:1/18:0),O,C,2242550.536,N,
PG(16:0/18:1);PG(16:1/18:0),O,H,1519084.975,N,
PG(16:0/19:1),M,C,604274.8204,N,
PG(16:0/19:1),M,H,527853.2649,N,
PG(16:0/19:1),O,C,751557.3867,N,
PG(16:0/19:1),O,H,593036.9719,N,
PG(16:1/16:1),M,C,389724.3653,N,
PG(16:1/16:1),M,H,178647.4037,N,
PG(16:1/16:1),O,C,396142.9662,N,
PG(16:1/16:1),O,H,204069.5375,N,
PG(16:1/18:1),M,C,543667.7083,N,
PG(16:1/18:1),M,H,322686.1106,N,
PG(16:1/18:1),O,C,537778.9323,N,
PG(16:1/18:1),O,H,315365.8844,N,
PG(16:1/19:1);PG(17:1/18:1),M,C,202377.5189,N,
PG(16:1/19:1);PG(17:1/18:1),M,H,112865.4095,N,
PG(16:1/19:1);PG(17:1/18:1),O,C,188061.6895,N,
PG(16:1/19:1);PG(17:1/18:1),O,H,125885.4211,N,
PG(17:0/17:0),M,C,442159.944,N,
PG(17:0/17:0),M,H,292748.2297,N,
PG(17:0/17:0),O,C,568787.3509,N,
PG(17:0/17:0),O,H,331403.7703,N,
PG(17:0/17:1),M,C,206987.9814,N,
PG(17:0/17:1),M,H,130725.3835,N,
PG(17:0/17:1),O,C,192790.6563,N,
PG(17:0/17:1),O,H,135297.9344,N,
PG(17:1/19:1),M,C,276240.2084,N,
PG(17:1/19:1),M,H,139672.2047,N,
PG(17:1/19:1),O,C,277949.1178,N,
PG(17:1/19:1),O,H,178571.1391,N,
PG(18:0/18:1),M,C,292973.8047,N,
PG(18:0/18:1),M,H,243080.9422,N,
PG(18:0/18:1),O,C,318114.9147,N,
PG(18:0/18:1),O,H,234781.1047,N,
PG(18:1/18:1),M,C,1850550.271,N,
PG(18:1/18:1),M,H,1808139.438,N,
PG(18:1/18:1),O,C,1966766.464,N,
PG(18:1/18:1),O,H,1762157.325,N,
PG(18:1/19:1),M,C,586243.9818,N,
PG(18:1/19:1),M,H,372818.9391,N,
PG(18:1/19:1),O,C,757247.5456,N,
PG(18:1/19:1),O,H,386833.8188,N,
PG(19:1/19:1),M,C,636942.2865,N,
PG(19:1/19:1),M,H,477221.0539,N,
PG(19:1/19:1),O,C,870061.6406,N,
PG(19:1/19:1),O,H,580580.675,N,
PI(15:0/15:0),M,C,392140.3467,N,
PI(15:0/15:0),M,H,134479.3021,N,
PI(15:0/15:0),O,C,492864.6016,N,
PI(15:0/15:0),O,H,188627.9985,N,
PI(16:0/17:0),M,C,74118.7544,N,
PI(16:0/17:0),M,H,51067.50405,N,
PI(16:0/17:0),O,C,164073.2238,N,
PI(16:0/17:0),O,H,72498.62616,N,
TG(46:2),M,C,778455.6719,P,TG(46:2)
TG(46:2),M,H,475936.2125,P,
TG(46:2),O,C,650271.4271,P,TG(46:2)
TG(46:2),O,H,542057.9563,P,
TG(46:3),M,C,422311.0443,P,TG(46:3)
TG(46:3),M,H,220559.2289,P,
TG(46:3),O,C,209858.5651,P,TG(46:3)
TG(46:3),O,H,189413.7906,P,
TG(47:1),M,C,478552.6016,N,
TG(47:1),M,H,395074.8969,N,
TG(47:1),O,C,394668.1407,N,
TG(47:1),O,H,378607.5,N,
TG(47:2),M,C,741401.4115,N,
TG(47:2),M,H,634622.275,N,
TG(47:2),O,C,777465.5521,N,
TG(47:2),O,H,662735.5688,N,
TG(47:3),M,C,239078.0456,N,
TG(47:3),M,H,166702.5781,N,
TG(47:3),O,C,249181.237,N,
TG(47:3),O,H,187684.5719,N,
TG(48:0),M,C,687776.5313,N,
TG(48:0),M,H,576264.175,N,
TG(48:0),O,C,450100.1797,N,
TG(48:0),O,H,405803.1125,N,
TG(48:1),M,C,3034633.833,P,TG(48:1)
TG(48:1),M,H,1943005.838,P,
TG(48:1),O,C,2348766.167,P,TG(48:1)
TG(48:1),O,H,2098956.35,P,
TG(48:2),M,C,6028066.25,N,
TG(48:2),M,H,4917773.4,N,
TG(48:2),O,C,4637111.25,N,
TG(48:2),O,H,4102375.2,N,
TG(48:3),M,C,4063777.833,N,
TG(48:3),M,H,3770169.138,N,
TG(48:3),O,C,3987121.625,N,
TG(48:3),O,H,3012101.475,N,
TG(49:1),M,C,714028.2709,N,
TG(49:1),M,H,484036.075,N,
TG(49:1),O,C,475850.7709,N,
TG(49:1),O,H,474777.0125,N,
TG(49:2),M,C,737920.1042,N,
TG(49:2),M,H,747390.4813,N,
TG(49:2),O,C,560040.599,N,
TG(49:2),O,H,707271.7563,N,
TG(50:1),M,C,1342337.24,N,
TG(50:1),M,H,886657.3063,N,
TG(50:1),O,C,870989.0521,N,
TG(50:1),O,H,915364.15,N,
TG(50:2),M,C,4717653.333,N,
TG(50:2),M,H,3254719.95,N,
TG(50:2),O,C,2629554.938,N,
TG(50:2),O,H,2846883.1,N,
TG(50:3),M,C,4084238.875,N,
TG(50:3),M,H,2529410.975,N,
TG(50:3),O,C,2194403.396,N,
TG(50:3),O,H,2108699.95,N,
TG(50:4),M,C,951709.2083,N,
TG(50:4),M,H,649309.0438,N,
TG(50:4),O,C,516122.3542,N,
TG(50:4),O,H,467658.5313,N,
TG(51:1),M,C,456168.8151,N,
TG(51:1),M,H,338842.5891,N,
TG(51:1),O,C,312246.9922,N,
TG(51:1),O,H,343015.2,N,
TG(51:2),M,C,1598899.865,N,
TG(51:2),M,H,925715.875,N,
TG(51:2),O,C,1035130.573,N,
TG(51:2),O,H,1001842.55,N,
TG(51:4),M,C,713133.4792,N,
TG(51:4),M,H,344116.025,N,
TG(51:4),O,C,437776.5209,N,
TG(51:4),O,H,487670.2125,N,
TG(52:1),M,C,937604.7188,N,
TG(52:1),M,H,614502.3844,N,
TG(52:1),O,C,739470.4688,N,
TG(52:1),O,H,801003.25,N,
TG(52:2),M,C,9059524.75,N,
TG(52:2),M,H,7229118.9,N,
TG(52:2),O,C,6499513.167,N,
TG(52:2),O,H,7478957.2,N,
TG(52:3),M,C,9168887.667,P,TG(52:3)
TG(52:3),M,H,6721460.55,P,
TG(52:3),O,C,6465538.083,P,
TG(52:3),O,H,6932490.7,P,TG(52:3)
TG(52:4),M,C,6659945.75,N,
TG(52:4),M,H,4363289.575,N,
TG(52:4),O,C,5035799.583,N,
TG(52:4),O,H,4770548.55,N,
TG(52:5),M,C,2206812.75,N,
TG(52:5),M,H,870195.1313,N,
TG(52:5),O,C,902160.9896,N,
TG(52:5),O,H,745368.05,N,
TG(53:1),M,C,270257.0677,N,
TG(53:1),M,H,196740.0047,N,
TG(53:1),O,C,141179.181,N,
TG(53:1),O,H,226393.0313,N,
TG(53:2),M,C,808846.6563,N,
TG(53:2),M,H,548869.5563,N,
TG(53:2),O,C,683221.2396,N,
TG(53:2),O,H,672036.9375,N,
TG(53:3),M,C,1235098.365,N,
TG(53:3),M,H,832958.1125,N,
TG(53:3),O,C,1102531.208,N,
TG(53:3),O,H,1070198.363,N,
TG(53:4),M,C,810994.375,N,
TG(53:4),M,H,624971.3969,N,
TG(53:4),O,C,828832.3333,N,
TG(53:4),O,H,1042767.663,N,
TG(53:5),M,C,422645.2084,P,TG(53:5)
TG(53:5),M,H,318898.8047,P,
TG(53:5),O,C,416334.9688,P,
TG(53:5),O,H,605734.1375,P,TG(53:5)
TG(53:6),M,C,199665.3334,N,
TG(53:6),M,H,218440.3446,N,
TG(53:6),O,C,476004.9922,N,
TG(53:6),O,H,717238.7125,N,
TG(54:1),M,C,482508.8985,N,
TG(54:1),M,H,365921.9625,N,
TG(54:1),O,C,506814.6615,N,
TG(54:1),O,H,432553.1188,N,
TG(54:2),M,C,3722854.083,P,TG(54:2)
TG(54:2),M,H,2656885.65,P,
TG(54:2),O,C,3178070.667,P,
TG(54:2),O,H,3203764.175,P,TG(54:2)
TG(54:3),M,C,16450000,N,
TG(54:3),M,H,14857617.9,N,
TG(54:3),O,C,13800000,N,
TG(54:3),O,H,14250476.6,N,
TG(54:4),M,C,13616666.67,N,
TG(54:4),M,H,12462403.1,N,
TG(54:4),O,C,10817589.83,N,
TG(54:4),O,H,11034709.3,N,
TG(54:5),M,C,11513578.17,N,
TG(54:5),M,H,9345612.15,N,
TG(54:5),O,C,8495128.583,N,
TG(54:5),O,H,9170539.2,N,
TG(54:6),M,C,10530177.42,N,
TG(54:6),M,H,6676891.175,N,
TG(54:6),O,C,7525484.25,N,
TG(54:6),O,H,7578160.7,N,
TG(54:7),M,C,763582.5208,N,
TG(54:7),M,H,485507.4188,N,
TG(54:7),O,C,602811.6979,N,
TG(54:7),O,H,564327.3938,N,
TG(55:3),M,C,337640.3412,N,
TG(55:3),M,H,265558.1266,N,
TG(55:3),O,C,312453.3438,N,
TG(55:3),O,H,312454.075,N,
TG(56:1),M,C,124507.0482,N,
TG(56:1),M,H,99878.58048,N,
TG(56:1),O,C,111589.4571,N,
TG(56:1),O,H,103834.9641,N,
TG(56:2),M,C,566882.6979,N,
TG(56:2),M,H,432985.9828,N,
TG(56:2),O,C,432519.2552,N,
TG(56:2),O,H,403266.4406,N,
TG(56:3),M,C,860750.6979,N,
TG(56:3),M,H,621094.7516,N,
TG(56:3),O,C,427599.4636,N,
TG(56:3),O,H,448690.3625,N,
TG(56:5),M,C,665724.6875,N,
TG(56:5),M,H,627438.3735,N,
TG(56:5),O,C,252179.7604,N,
TG(56:5),O,H,306220.0813,N,
TG(56:6)_A,M,C,806817.3984,N,
TG(56:6)_A,M,H,807991.5891,N,
TG(56:6)_A,O,C,260781.6771,N,
TG(56:6)_A,O,H,260467.7688,N,
TG(56:6)_B,M,C,576851.9063,P,TG(56:6)_B
TG(56:6)_B,M,H,409448.3657,P,
TG(56:6)_B,O,C,363989.8959,P,
TG(56:6)_B,O,H,390246.7875,P,TG(56:6)_B
TG(56:7),M,C,488034.4427,N,
TG(56:7),M,H,359369.361,N,
TG(56:7),O,C,368138.198,N,
TG(56:7),O,H,339275.025,N,
TG(56:8),M,C,352402.8646,N,
TG(56:8),M,H,234908.1461,N,
TG(56:8),O,C,85782.10613,N,
TG(56:8),O,H,129916.6875,N,
TG(58:1),M,C,80558.33073,N,
TG(58:1),M,H,57049.86836,N,
TG(58:1),O,C,50616.30143,N,
TG(58:1),O,H,57566.99063,N,
TG(58:11),M,C,233420.1211,N,
TG(58:11),M,H,328646.2477,N,
TG(58:11),O,C,154862.7109,N,
TG(58:11),O,H,119130.1766,N,
TG(58:2),M,C,364844.75,N,
TG(58:2),M,H,283821.7094,N,
TG(58:2),O,C,304435.3542,N,
TG(58:2),O,H,256668.1969,N,
TG(58:3),M,C,255677.1407,N,
TG(58:3),M,H,211979.5141,N,
TG(58:3),O,C,149137.3945,N,
TG(58:3),O,H,148455.45,N,
TG(58:9),M,C,277162.0625,P,TG(58:9)
TG(58:9),M,H,242008.4953,P,
TG(58:9),O,C,153796.6693,P,
TG(58:9),O,H,202679.125,P,TG(58:9)
TG(59:2),M,C,93322.88803,N,
TG(59:2),M,H,73417.7375,N,
TG(59:2),O,C,85790.25651,N,
TG(59:2),O,H,78124.83203,N,
TG(59:3),M,C,86480.60287,P,TG(59:3)
TG(59:3),M,H,65115.78907,P,
TG(59:3),O,C,55577.42318,P,
TG(59:3),O,H,64200.20469,P,TG(59:3)
TG(60:2),M,C,230207.5716,N,
TG(60:2),M,H,181319.411,N,
TG(60:2),O,C,145062.2357,N,
TG(60:2),O,H,161271.3234,N,
TG(60:3),M,C,230431.3542,N,
TG(60:3),M,H,175442.4859,N,
TG(60:3),O,C,97605.83984,N,
TG(60:3),O,H,128146.8578,N,
